Year,Singapore,China,Japan,Malaysia,Thailand,Vietnam,World,Indonesia,Philippines,Korea
1990,0.194833724,34.08361405,4.550664024,11.98054361,33.63913092,76.08164466,17.06715389,58.59753114,50.9465674,7.189592068
1991,0.495509224,33.25847354,4.730569218,11.15343552,33.01563167,75.63743658,17.22381892,57.82874174,51.96040826,7.538102531
1992,0.52847069,32.9312779,4.197714901,10.26621727,31.82377522,74.70197167,17.58433435,56.82076894,48.70739056,7.739543342
1993,0.515729258,31.6777918,4.435606712,10.02585191,26.42591045,70.81269017,17.59843739,55.4330117,45.85746431,7.998526686
1994,0.477110597,31.24948417,3.567645778,9.925926912,23.86782039,67.98600793,17.69286334,52.81378848,44.43508561,8.989769326
1995,0.452737924,29.47211139,3.917188521,9.029613848,22.6994113,65.12578361,17.75534779,50.09815781,38.9420017,9.598558461
1996,0.457871819,30.53717546,3.839358437,7.473082671,21.16347051,62.86600927,17.74181966,48.75037997,36.87686633,10.20747007
1997,0.431425659,30.18348168,4.072127493,6.705587222,21.24884266,60.79237361,17.76830281,47.08737494,33.79991123,9.641619885
1998,0.433014805,29.73990148,4.045356051,7.16784032,21.65097363,59.49934411,17.92092239,48.29961688,33.43061176,9.889996579
1999,0.426520083,30.50604898,3.828786576,7.342714823,21.31244234,59.56700311,18.12984203,45.07867761,34.06882535,9.384179411
2000,0.33,29.63,3.7,4.44,21.82,57.73,17.62680994,45.62,33.42,8.72
2001,0.6,28.36,3.5,4.26,19.89,56.14,17.31814989,44.33,32.12,8.62
2002,0.58,27,3.71,3.57,19.91,52.2,17.30941978,44.66,31.42,9.02
2003,0.58,23.86,4.19,3.33,20.21,50.83,17.13126367,43,30.67,9.26
2004,0.53,20.17,4.26,3.22,19.89,45.77,16.84163616,41.46,29.96,9.37
2005,0.54,17.44,4.02,3.01,20.11,44.15,16.69930889,41.57,31.17,9.23
2006,0.52,16.39,4.43,3.13,20.53,44.25,16.7671689,40.07,33.24,8.96
2007,0.5,14.88,4.29,2.85,21.61,41.9,16.59593605,40.01,32.57,10.9
2008,0.53,14.14,4.44,3.04,22.63,39.26,16.7700807,41.12,33.91,10.2
2009,0.48,13.43,4.51,2.27,22.83,36.97,17.22351075,38.18,33.98,12.42
2010,0.47,12.26,4.66,1.96,22.83,34.58,16.86585484,34.81,32.59,13.61
2011,0.48,11.34,4.82,2.16,22.96,36.32,16.75624722,30.92,33.69,18.27
2012,0.51,11.53,4.68,2.52,23.56,37.9,16.98900462,28.78,34.06,17.83
2013,0.56,11.45,5.05,2.75,23.21,37.35,17.25708378,29.7,33.05,24.05
2014,0.59,11.94,5.58,3.03,24.41,36.64,17.40155398,28.32,32.33,21.23
2015,0.65,12.18,6.16,3.41,22.65,30.33,17.54278297,26.69,30.75,23.31
2016,0.68,12.56,6.39,4.43,22.43,22.48,,28.24,28.45,22.04
2017,0.67,13.13,6.92,5.22,22.25,25.02,,26.15,27.68,11.98
2018,0.73,13.71,7.22,5.31,23.7,21.81,,21.05,27.51,13.19
2019,0.84,14.45,7.69,5.11,23.96,18.65,,19.09,26.73,11.31
