"country","cap2021","add2020","tot2020","tot2019","tot2018","tot2017"
"China","306973","53009","253964","204971","175262","130832"
"United States","95209","19647","75562","60826","51570","43115"
"Japan","74191","4427","69764","63192","56162","49500"
"Germany","58461","4740","53721","48914","45158","42293"
"India","49684","10299","39385","35203","27453","18252"
"Italy","22698","1042","21656","20871","20114","19688"
"Australia","19076","1732","17344","12969","8625","7354"
"South Korea","18161","3586","14575","11952","8099","5835"
"Vietnam","16660","0","16660","4993","105","8"
"Spain","15952","3363","12589","11143","7068","7027"
"France","14718","2687","12031","10817","9672","8610"
"Netherlands","14249","3299","10950","7226","4608","2911"
"United Kingdom","13689","227","13462","13346","13073","12760"
"Brazil","13055","5176","7879","4613","2435","1207"
"Ukraine","8062","731","7331","5936","2003","1200"
"Turkey","7817","1149","6668","5996","5064","3422"
"Taiwan","7700","1883","5817","4150","2738","1768"
"Mexico","7040","1877","5163","4440","2555","1126"
"Belgium","6585","1010","5575","4637","4000","3621"
"Poland","6257","2302","3955","1539","562","287"
"South Africa","6221","231","5990","4905","4801","3447"
"Chile","4468","1263","3205","2654","2137","1809"
"Canada","3630","288","3342","3327","3095","2932"
"Greece","3530","242","3288","2834","2652","2606"
"Switzerland","3449","476","2973","2498","2173","1906"
"Thailand","3049","61","2988","2988","2967","2702"
"Kazakhstan","2834","1115","1719","1150","490","175"
"United Arab Emirates","2705","399","2306","1918","598","355"
"Austria","2692","649","2043","1702","1455","1269"
"Israel","2555","83","2472","2056","1291","988"
"Hungary","2131","0","2131","1400","728","344"
"Czech Republic","2119","-4","2123","2086","2075","2070"
"Portugal","1801","701","1100","901","667","579"
"Malaysia","1787","304","1483","894","545","394"
"Egypt","1675","0","1675","1647","764","180"
"Russia","1661","233","1428","1276","535","225"
"Sweden","1577","470","1107","714","428","244"
"Denmark","1540","236","1304","1080","988","906"
"Jordan","1521","73","1448","1186","700","397"
"Romania","1398","15","1383","1398","1386","1374"
"Philippines","1370","312","1058","982","917","908"
"Bulgaria","1186","89","1097","1048","1033","1036"
"Pakistan","1083","223","860","763","679","655"
"Argentina","1071","307","764","442","191","9"
"Morocco","774","40","734","734","734","204"
"Slovakia","535","0","535","590","472","528"
"Honduras","514","0","514","514","514","454"
"Puerto Rico","491","107","384","336","305","302"
"Dominican Republic","490","104","386","315","205","106"
"El Salvador","478","0","478","403","198","121"
"Panama","465","223","242","222","210","147"
"Iran","456","26","430","346","286","184"
"Algeria","448","0","448","448","448","425"
"Saudi Arabia","439","330","109","109","84","34"
"Sri Lanka","434","63","371","285","185","131"
"Singapore","433","97","336","276","161","116"
"Cambodia","428","113","315","124","29","29"
"Estonia","414","206","208","121","32","15"
"Finland","404","86","318","222","140","82"
"Slovenia","367","-3","370","278","247","247"
"Lithuania","338","90","248","133","92","78"
"Peru","336","1","335","335","324","298"
"Bangladesh","329","45","284","239","201","185"
"Cyprus","316","87","229","151","118","110"
"Belarus","269","109","160","154","154","80"
"Uruguay","258","0","258","254","248","243"
"Yemen","253","0","253","250","250","100"
"Cuba","246","29","217","159","128","65"
"Senegal","238","67","171","171","148","107"
"Norway","225","65","160","120","68","45"
"Reunion","217","12","205","191","190","188"
"Indonesia","211","26","185","155","65","98"
"Luxembourg","209","22","187","160","131","128"
"Malta","196","8","188","155","132","112"
"Colombia","184","98","86","26","13","11"
"Armenia","183","88","95","50","17","2"
"Bolivia","170","50","120","120","70","8"
"Kenya","147","41","106","106","105","38"
"New Zealand","146","4","142","116","90","70"
"Namibia","145","0","145","145","93","75"
"Malawi","142","60","82","80","26","19"
"Oman","138","26","112","9","8","8"
"Sudan","136","19","117","80","59","36"
"Ireland","136","43","93","58","32","17"
"Palestine","117","0","117","82","40","35"
"Croatia","109","0","109","85","68","60"
"Ghana","108","0","108","85","78","47"
"Uzbekistan","104","100","4","4","4","3"
"Guatemala","101","0","101","101","101","99"
"Mali","100","30","70","19","19","19"
"Zambia","96","0","96","96","1","0"
"Tunisia","95","0","95","80","64","47"
"North Macedonia","94","0","94","26","21","17"
"Nepal","93","26","67","51","52","54"
"Kuwait","93","0","93","93","43","32"
"Jamaica","93","0","93","93","56","56"
"Uganda","92","5","87","77","67","44"
"Mongolia","90","0","90","89","64","48"
"Mauritania","88","0","88","88","87","35"
"Guadeloupe","86","1","85","81","70","70"
"Mauritius","83","0","83","83","67","29"
"Myanmar","80","-4","84","88","48","44"
"New Caledonia","80","0","80","62","29","26"
"Lebanon","79","0","79","79","58","35"
"Martinique","78","2","76","76","71","68"
"Costa Rica","74","17","57","48","28","28"
"Burkina Faso","62","0","62","62","62","47"
"Togo","56","50","6","5","4","3"
"Mozambique","55","0","55","55","55","15"
"French Guiana","55","0","55","47","47","47"
"North Korea","52","10","42","42","38","35"
"Serbia","52","21","31","23","21","18"
"Barbados","50","0","50","35","22","21"
"Azerbaijan","43","15","28","35","35","28"
"French Polynesia","41","0","41","41","37","35"
"Rwanda","38","0","38","38","38","28"
"Iraq","37","0","37","37","37","37"
"Guam","35","0","35","35","35","35"
"Laos","34","0","34","34","34","8"
"Nigeria","33","5","28","28","19","19"
"Madagascar","33","0","33","33","33","13"
"Afghanistan","31","0","31","31","22","22"
"Maldives","31","4","27","21","16","11"
"Zimbabwe","30","12","18","16","11","6"
"Ecuador","28","0","28","28","27","26"
"Niger","27","0","27","27","27","9"
"Tanzania","24","0","24","24","26","22"
"Somalia","24","8","16","7","7","7"
"Eritrea","24","2","22","20","18","10"
"Albania","22","5","17","14","1","1"
"Ethiopia","21","1","20","12","12","12"
"DR Congo","20","0","20","20","20","5"
"Mayotte","18","0","18","15","15","15"
"Nicaragua","16","0","16","16","14","14"
"Cameroon","14","0","14","14","14","12"
"Samoa","14","0","14","14","14","14"
"Cayman Islands","14","1","13","11","10","9"
"Angola","13","0","13","13","13","13"
"Ivory Coast","13","0","13","13","13","8"
"Guinea","13","0","13","13","13","13"
"Curacao","13","0","13","12","12","11"
"Antigua and Barbuda","13","0","13","9","9","4"
"Bahrain","11","1","10","9","6","6"
"Eswatini","11","10","1","1","1","1"
"Fiji","10","0","10","10","9","7"
"Suriname","9","0","9","9","9","8"
"Seychelles","9","5","4","4","4","3"
"Moldova","8","4","4","5","3","2"
"Latvia","8","3","5","3","2","1"
"Guyana","8","0","8","8","6","3"
"Montenegro","7","1","6","5","4","3"
"Belize","7","0","7","6","4","4"
"Iceland","7","0","7","7","5","4"
"Libya","6","1","5","5","5","5"
"Botswana","6","0","6","6","4","3"
"Tonga","6","0","6","6","6","6"
"Aruba","6","0","6","6","6","6"
"Venezuela","5","0","5","5","4","5"
"Burundi","5","0","5","5","5","5"
"Qatar","5","0","5","5","5","5"
"Brunei","5","4","1","1","1","1"
"American Samoa","5","0","5","5","5","4"
"Cook Islands","5","0","5","5","5","3"
"Sierra Leone","4","0","4","4","4","4"
"Trinidad and Tobago","4","0","4","4","4","4"
"Vanuatu","4","0","4","4","4","3"
"Saint Lucia","4","0","4","4","4","1"
"Grenada","4","0","4","3","3","2"
"Andorra","4","1","3","2","1","0"
"Benin","3","0","3","3","3","3"
"Haiti","3","0","3","3","3","3"
"Papua New Guinea","3","0","3","3","1","1"
"Liberia","3","0","3","3","3","2"
"Solomon Islands","3","0","3","3","3","3"
"Kiribati","3","0","3","3","3","3"
"Syria","2","0","2","2","1","0"
"Gambia","2","0","2","2","2","2"
"Bahamas","2","0","2","2","1","1"
"Micronesia","2","0","2","2","2","1"
"Saint Vincent and the Grenadines","2","0","2","2","1","1"
"Saint Kitts and Nevis","2","0","2","2","2","2"
"Marshall Islands","2","0","2","2","2","2"
"Palau","2","0","2","2","2","1"
"Anguilla","2","0","2","2","1","2"
"Nauru","2","0","2","2","1","1"
"Tuvalu","2","0","2","2","2","2"
"Chad","1","0","1","0","0","0"
"South Sudan","1","0","1","1","1","0"
"Republic of the Congo","1","0","1","1","1","1"
"Georgia","1","0","1","1","0","0"
"Gabon","1","0","1","1","1","1"
